Ia_mean,Ia_std,Ia_max,Ia_min,Ib_mean,Ib_std,Ib_max,Ib_min,VDC_mean,VDC_std,VDC_max,VDC_min,IDC_mean,IDC_std,IDC_max,IDC_min,T1_mean,T1_std,T1_max,T1_min,T2_mean,T2_std,T2_max,T2_min,T3_mean,T3_std,T3_max,T3_min,Current_RMS_mean,Current_RMS_std,Current_RMS_max,Current_RMS_min,Temp_Max_mean,Temp_Max_std,Temp_Max_max,Temp_Max_min,Temp_Avg_mean,Temp_Avg_std,Temp_Avg_max,Temp_Avg_min,Power_DC_mean,Power_DC_std,Power_DC_max,Power_DC_min,Temp_Diff_Max_mean,Temp_Diff_Max_std,Temp_Diff_Max_max,Temp_Diff_Max_min,Current_RMS_slope,Temp_Max_slope,VDC_slope,Impedance_mean,Current_min,Current_Delta,FDD,fault_type
532.5,0.9718,534.0,531.0,390.1,1.7288,394.0,388.0,-21.5054,3.6064,-17.1065,-26.8817,506.4,0.9661,508.0,505.0,10.841,0.4292,11.7322,10.5772,11.4593,0.1831,11.8979,11.1536,12.3298,0.1348,12.6462,12.2299,466.7638,0.7341,467.9941,465.6007,12.3298,0.1348,12.6462,12.2299,11.5433,0.2027,11.9541,11.3203,8.8612,1.9214,11.9355,6.3294,1.5218,0.2391,1.6536,0.9955,0.1194,-0.010098,-0.088865,0.046073,465.6007,0.8347,F0,normal
532.5,0.9718,534.0,531.0,390.0,2.0548,394.0,386.0,-20.5279,4.6368,-17.1065,-26.8817,505.3,3.3682,508.0,496.0,10.6677,0.026,10.7417,10.6595,11.5254,0.184,11.8979,11.4013,12.2798,0.0429,12.3131,12.2299,466.7224,0.8523,467.9941,464.7688,12.2798,0.043,12.3131,12.2299,11.4909,0.0635,11.6235,11.4576,10.6877,7.7401,31.828,5.0635,1.6121,0.0586,1.6536,1.4882,-0.116982,-0.001008,0.385082,0.043983,464.7688,0.7246,F0,normal
533.0,1.2472,535.0,531.0,388.6,1.2649,391.0,386.0,-20.0391,4.1216,-17.1065,-26.8817,505.2,3.3267,508.0,496.0,10.7254,0.1934,11.2361,10.5772,11.4757,0.132,11.815,11.4013,12.1391,0.4369,12.3963,10.9064,466.4227,0.9441,467.3163,464.7688,12.1886,0.2825,12.3963,11.4013,11.4467,0.1783,11.6502,10.989,10.5611,7.6174,31.828,5.0635,1.4633,0.3072,1.6536,0.7418,0.00479,-0.006493,-0.355461,0.042963,464.7688,0.5713,F0,normal
533.1,1.2867,535.0,531.0,389.9,1.912,393.0,388.0,-20.0391,4.1216,-12.219,-26.8817,506.2,0.9189,508.0,505.0,10.7171,0.1943,11.2361,10.5772,11.4841,0.2375,12.1468,11.3187,12.1558,0.4421,12.3963,10.9064,467.0227,1.0379,468.4122,465.0296,12.2053,0.2873,12.3963,11.4013,11.4523,0.1878,11.6787,10.989,8.6442,2.1292,11.393,3.6168,1.4881,0.3169,1.6536,0.7418,0.132046,0.042716,0.236974,0.042908,465.0296,0.0,F0,normal
532.9,0.7379,534.0,532.0,389.3,2.4967,393.0,386.0,-20.0391,5.254,-12.219,-26.8817,506.5,0.8498,508.0,505.0,10.5773,0.1643,10.6595,10.1667,11.542,0.2501,12.1468,11.3187,12.1969,0.2448,12.3131,11.5666,466.6587,1.1308,468.4122,465.1844,12.1969,0.2449,12.3131,11.5666,11.4387,0.1592,11.6787,11.1545,8.3006,2.797,11.9355,3.6168,1.6196,0.1757,1.8141,1.1537,-0.355456,-0.024141,-0.17773,0.042942,465.1844,-3.0709,F0,normal
532.3,0.8233,533.0,531.0,387.9,0.9944,389.0,386.0,-22.9717,9.4437,-12.219,-46.4321,506.4,0.6992,507.0,505.0,10.6021,0.2484,11.1536,10.1667,11.4757,0.1261,11.815,11.4013,12.8562,1.5353,16.9002,11.5666,465.731,0.5502,466.5887,465.0296,12.8562,1.5353,16.9002,11.5666,11.6447,0.5294,12.987,11.1545,9.6207,4.4328,20.6158,4.521,2.2541,1.5004,6.2407,1.1537,0.01939,0.338101,0.236974,0.049324,465.0296,-0.1545,F0,normal
532.7,1.3375,535.0,531.0,389.4,1.075,391.0,388.0,-25.4154,8.9383,-17.1065,-46.4321,505.3,3.7133,508.0,495.0,10.676,0.177,11.1536,10.4951,11.3856,0.5294,12.4795,10.2487,12.9724,1.459,16.9002,12.2299,466.5844,1.1508,468.1479,465.0296,12.9807,1.4556,16.9002,12.2299,11.678,0.53,12.987,11.0463,13.0748,10.2107,39.9658,6.3294,2.3375,1.4569,6.2407,1.5759,0.294157,-0.085068,0.562813,0.054471,465.0296,2.3942,F0,normal
532.5,1.7159,535.0,529.0,390.2,1.0328,392.0,389.0,-24.9267,4.7219,-17.1065,-31.7693,505.8,4.0497,510.0,495.0,10.7089,0.217,11.3187,10.5772,11.3691,0.5314,12.4795,10.2487,12.363,0.1053,12.6462,12.3131,466.8048,1.1416,468.1479,464.307,12.3714,0.1114,12.6462,12.3131,11.4803,0.2187,11.8451,11.0463,11.8631,10.1476,39.9658,3.9785,1.6952,0.1864,2.0643,1.3274,-0.263841,0.018673,0.414704,0.053398,464.307,-3.2697,F0,normal
532.1,1.6633,535.0,529.0,390.0,1.2472,392.0,388.0,-21.0166,6.0082,-12.219,-26.8817,506.8,1.4757,510.0,505.0,10.8573,0.367,11.5666,10.5772,11.3766,0.1034,11.484,11.1536,12.3963,0.1241,12.6462,12.3131,466.4931,1.1987,468.1479,464.307,12.3963,0.1241,12.6462,12.3131,11.5434,0.167,11.8158,11.3754,7.9208,3.0982,11.9355,3.9785,1.5555,0.2315,1.819,1.0782,0.095573,0.006051,1.3626,0.045052,464.307,-0.4191,F0,normal
532.4,1.5776,535.0,530.0,389.1,4.4083,392.0,377.0,-21.0166,6.8349,-12.219,-31.7693,507.0,1.5635,511.0,506.0,10.7996,0.3276,11.5666,10.5772,11.4345,0.1837,11.8979,11.1536,12.363,0.0895,12.5628,12.3131,466.2924,2.4762,468.4122,459.9071,12.363,0.0895,12.5628,12.3131,11.5323,0.1428,11.8158,11.3754,7.523,3.252,11.9355,1.9892,1.5799,0.2101,1.7368,1.0782,-0.203322,-0.012106,-0.888652,0.045072,459.9071,1.8242,F0,normal
531.9,1.1972,534.0,530.0,388.6,4.3767,392.0,377.0,-22.4829,5.8515,-12.219,-31.7693,507.0,1.5635,511.0,505.0,10.6184,0.1299,10.6595,10.2487,11.8096,0.9114,14.3259,11.4013,12.2633,0.1623,12.3963,11.815,465.7986,2.2951,468.4122,459.9071,12.4646,0.6736,14.3259,11.815,11.5638,0.3311,12.4328,11.155,8.2102,3.4462,13.9247,1.9892,1.8462,0.6414,3.6664,1.5663,-0.127992,0.035828,-0.266596,0.048267,459.9071,-2.6558,F0,normal
531.8,0.6325,533.0,531.0,388.5,1.2693,391.0,387.0,-18.0841,6.8349,-7.3314,-26.8817,506.4,0.9661,508.0,505.0,10.5939,0.268,11.1536,10.1667,11.7765,0.913,14.3259,11.4013,12.4304,0.4804,13.4829,11.815,465.6955,0.6411,466.8538,464.6127,12.6317,0.7638,14.3259,11.815,11.6002,0.3795,12.4328,11.155,7.5591,3.495,13.9247,3.2551,2.0378,0.6561,3.6664,1.5663,-0.037498,0.027988,0.829408,0.038832,464.6127,-0.8361,F0,normal
532.3,0.9487,534.0,531.0,389.2,1.6865,393.0,387.0,-18.0841,6.8349,-7.3314,-26.8817,506.4,1.075,508.0,505.0,10.6185,0.2398,11.1536,10.1667,11.3107,0.3236,11.484,10.4129,12.7403,0.7944,14.665,12.1468,466.2734,0.9005,467.5767,464.6127,12.7404,0.7944,14.665,12.1468,11.5565,0.3391,12.2145,11.1011,7.306,2.6154,11.9355,3.2551,2.1383,0.7405,4.0878,1.6536,0.251392,0.016877,-0.947895,0.038784,464.6127,1.9398,F0,normal
532.2,1.2293,534.0,530.0,389.3,1.767,393.0,386.0,-21.0166,4.4914,-17.1065,-26.8817,506.3,1.8288,508.0,502.0,10.6266,0.0693,10.7417,10.4951,11.3273,0.3374,11.6494,10.4129,12.5732,0.736,14.665,12.3131,466.258,1.1503,467.5767,463.6248,12.5733,0.736,14.665,12.3131,11.509,0.276,12.2145,11.1011,8.5176,1.886,12.6588,6.3294,1.9631,0.753,4.0878,1.5713,-0.286813,-0.104316,-0.592435,0.045075,463.6248,-2.9639,F0,normal
531.9,1.1005,534.0,530.0,388.0,1.3333,390.0,386.0,-22.4829,4.8604,-17.1065,-31.7693,506.3,1.8288,508.0,502.0,10.742,0.3322,11.6494,10.4951,11.4426,0.0804,11.6494,11.4013,12.4464,0.2429,12.9801,12.3131,465.5442,0.9002,466.5887,463.6248,12.4464,0.2429,12.9801,12.3131,11.5437,0.1699,11.9546,11.4305,9.3495,3.2046,16.4565,6.3294,1.7292,0.197,2.1561,1.4117,-0.079216,0.029301,-0.977517,0.048294,463.6248,-0.4177,F0,normal
532.7,1.4181,535.0,531.0,388.8,1.8135,392.0,386.0,-21.5054,5.8515,-12.219,-31.7693,506.2,0.9189,508.0,505.0,10.6845,0.3885,11.6494,10.0847,11.3354,0.2122,11.484,10.7417,12.5885,0.4406,13.651,12.3131,466.335,1.2516,468.5648,464.6127,12.5885,0.4406,13.651,12.3131,11.5362,0.2085,11.9546,11.2107,9.2229,3.1427,16.4565,5.4252,1.9288,0.6044,3.5662,1.4117,0.171265,-0.026756,0.088865,0.046116,464.6127,1.1433,F0,normal
532.9,1.2867,535.0,531.0,388.5,2.0683,392.0,386.0,-20.0391,5.737,-12.219,-26.8817,506.9,1.3703,509.0,505.0,10.5609,0.1807,10.7417,10.0847,11.3519,0.224,11.5666,10.7417,12.4884,0.4106,13.651,12.3131,466.3246,1.2545,468.5648,464.7688,12.4885,0.4106,13.651,12.3131,11.4671,0.1231,11.7123,11.2107,7.324,2.2639,11.9355,3.6168,1.9276,0.5816,3.5662,1.5713,-0.351662,-0.068438,-0.296217,0.042972,464.7688,-3.796,F0,normal
532.4,0.8433,534.0,531.0,387.3,1.1595,389.0,386.0,-20.5279,6.5371,-12.219,-26.8817,506.8,1.4757,509.0,505.0,10.701,0.4021,11.6494,10.0847,11.4344,0.0578,11.5666,11.4013,12.5634,0.4074,13.5669,12.2299,465.5385,0.634,466.5887,464.7688,12.5634,0.4074,13.5669,12.2299,11.5663,0.1692,11.9267,11.4031,7.7038,3.1057,13.9247,3.6168,1.8872,0.5841,3.4822,1.3283,0.020695,0.079,0.444326,0.044095,464.7688,0.571,F0,normal
532.9,1.1005,535.0,531.0,388.8,1.6193,391.0,386.0,-19.0616,5.737,-12.219,-26.8817,505.5,1.4337,507.0,502.0,10.701,0.3984,11.6494,10.0847,11.3685,0.2614,11.6494,10.6595,12.58,0.3974,13.5669,12.2299,466.4486,1.2143,468.5648,464.7688,12.5801,0.3974,13.5669,12.2299,11.5498,0.1987,11.9267,11.211,9.2771,3.8486,16.2757,5.4252,1.9038,0.5765,3.4822,1.3283,0.307258,-0.037424,0.236974,0.040865,464.7688,2.5471,F0,normal
533.2,0.9189,535.0,532.0,388.8,1.6193,391.0,386.0,-17.1065,3.2584,-12.219,-21.9941,505.6,1.4298,507.0,502.0,10.6431,0.1492,10.9887,10.4129,11.3685,0.2614,11.6494,10.6595,12.4966,0.3475,13.4829,12.3131,466.6202,1.0339,468.5648,464.7688,12.4966,0.3475,13.4829,12.3131,11.5027,0.1882,11.9576,11.211,8.2825,3.3212,16.2757,5.4252,1.8535,0.2352,2.4941,1.6545,-0.25229,0.056748,0.355461,0.03666,464.7688,-1.0951,F0,normal
532.6,0.9661,534.0,531.0,388.1,1.1972,390.0,386.0,-16.129,4.4914,-7.3314,-21.9941,506.0,0.9428,507.0,504.0,10.7007,0.24,11.2361,10.4129,11.4178,0.0348,11.484,11.4013,12.505,0.3653,13.4829,12.1468,465.9857,0.8248,467.16,464.6127,12.505,0.3653,13.4829,12.1468,11.5412,0.1799,11.9576,11.3758,7.1975,2.268,10.1271,2.7126,1.8042,0.2862,2.4941,1.41,0.052994,-0.005567,0.236974,0.034613,464.6127,0.8337,F0,normal
